State,Incident Date,# Killed,# Injured
Maryland,"July 20, 2019",1,3
Illinois,"July 20, 2019",0,7
Illinois,"July 18, 2019",1,3
Texas,"July 17, 2019",1,3
Texas,"July 16, 2019",0,4
Georgia,"July 15, 2019",0,4
Illinois,"July 14, 2019",0,4
Illinois,"July 13, 2019",1,4
Pennsylvania,"July 13, 2019",0,7
Texas,"July 11, 2019",0,4
District of Columbia,"July 8, 2019",2,2
Michigan,"July 7, 2019",0,6
Missouri,"July 7, 2019",0,5
Illinois,"July 7, 2019",0,4
Illinois,"July 7, 2019",0,4
New Mexico,"July 7, 2019",0,4
California,"July 6, 2019",0,4
Missouri,"July 6, 2019",5,0
Massachusetts,"July 5, 2019",0,6
Illinois,"July 5, 2019",0,5
Nevada,"July 5, 2019",1,3
New York,"July 5, 2019",0,4
Illinois,"July 4, 2019",0,4
Illinois,"July 4, 2019",1,3
California,"July 4, 2019",0,4
California,"July 4, 2019",1,3
Texas,"July 3, 2019",2,3
Missouri,"July 2, 2019",0,4
Maryland,"July 1, 2019",0,4
California,"June 30, 2019",0,4
California,"June 30, 2019",0,5
Texas,"June 30, 2019",2,2
New York,"June 30, 2019",0,6
Connecticut,"June 29, 2019",0,4
Louisiana,"June 29, 2019",0,4
Illinois,"June 29, 2019",0,5
Louisiana,"June 29, 2019",0,7
New Jersey,"June 28, 2019",0,4
Connecticut,"June 28, 2019",0,5
Georgia,"June 28, 2019",0,7
New Jersey,"June 28, 2019",0,4
Minnesota,"June 28, 2019",0,5
Georgia,"June 27, 2019",0,7
Ohio,"June 26, 2019",1,3
Wisconsin,"June 26, 2019",0,4
California,"June 23, 2019",1,3
California,"June 23, 2019",5,0
Indiana,"June 23, 2019",1,10
Ohio,"June 23, 2019",0,5
South Carolina,"June 23, 2019",3,1
Virginia,"June 22, 2019",0,4
Pennsylvania,"June 22, 2019",0,4
Maryland,"June 22, 2019",1,4
Michigan,"June 21, 2019",1,3
Illinois,"June 21, 2019",0,4
California,"June 21, 2019",5,0
California,"June 21, 2019",0,5
Pennsylvania,"June 20, 2019",0,10
New Jersey,"June 18, 2019",1,4
Texas,"June 17, 2019",0,4
Tennessee,"June 17, 2019",0,5
Pennsylvania,"June 16, 2019",1,5
Kentucky,"June 16, 2019",1,6
Iowa,"June 16, 2019",0,6
Louisiana,"June 15, 2019",0,4
North Carolina,"June 12, 2019",1,3
Colorado,"June 11, 2019",0,4
Georgia,"June 11, 2019",2,2
Ohio,"June 9, 2019",1,3
New York,"June 9, 2019",0,4
Tennessee,"June 9, 2019",1,3
Washington,"June 8, 2019",5,2
Illinois,"June 8, 2019",0,4
Texas,"June 7, 2019",0,5
Illinois,"June 6, 2019",1,3
California,"June 5, 2019",0,4
South Carolina,"June 1, 2019",0,5
Illinois,"June 1, 2019",0,4
Virginia,"June 1, 2019",1,3
Illinois,"June 1, 2019",0,4
Georgia,"June 1, 2019",0,5
Georgia,"June 1, 2019",2,4
Virginia,"May 31, 2019",13,4
California,"May 31, 2019",1,3
Illinois,"May 30, 2019",0,5
Texas,"May 29, 2019",3,2
Louisiana,"May 29, 2019",1,3
Missouri,"May 27, 2019",2,2
District of Columbia,"May 27, 2019",0,5
New Jersey,"May 27, 2019",1,5
District of Columbia,"May 26, 2019",1,3
Virginia,"May 26, 2019",0,5
California,"May 26, 2019",1,3
New Jersey,"May 25, 2019",0,9
